Genome	Contamination	Raw	ContNR	GenomeNR	Year	Month	Day	Label2017	Label2016	Label2015	Label2014
GCA_000167675.2	0	33348438	0	1	2011	7	18	2017_1	2016_1	2015_1	2014_1
GCA_000170175.2	0	27427344	0	1	2011	1	25	2017_1	2016_1	2015_1	2014_1
GCA_000170995.2	0	39022652	0	1	2011	11	29	2017_1	2016_1	2015_1	2014_1
GCA_000182765.2	0	13030174	0	1	2011	10	26	2017_1	2016_1	2015_1	2014_1
GCA_000184455.3	0	37117683	0	1	2011	6	24	2017_1	2016_1	2015_1	2014_1
GCA_000185945.1	0	18361682	0	1	2011	1	12	2017_1	2016_1	2015_1	2014_1
GCA_000186765.1	33866	76497192	1	1	2011	1	31	2017_1	2016_1	2015_1	2014_1
GCA_000192795.1	0	6033822	0	1	2011	3	22	2017_1	2016_1	2015_1	2014_1
GCA_000193285.1	0	34673006	0	1	2011	3	21	2017_1	2016_1	2015_1	2014_1
GCA_000204055.1	4385	97682699	1	1	2011	4	13	2017_1	2016_1	2015_1	2014_1
GCA_000208865.2	0	57524119	0	1	2011	3	2	2017_1	2016_1	2015_1	2014_1
GCA_000213175.1	500	38490826	1	1	2011	6	21	2017_1	2016_1	2015_1	2014_1
GCA_000219625.1	0	39678910	0	1	2011	7	6	2017_1	2016_1	2015_1	2014_1
GCA_000223415.1	82517	74356772	1	1	2011	8	22	2017_1	2016_1	2015_1	2014_1
GCA_000225285.2	4518059	46723002	1	1	2011	9	2	2017_1	2016_1	2015_1	2014_1
GCA_000226095.1	0	38744216	0	1	2011	9	16	2017_1	2016_1	2015_1	2014_1
GCA_000227135.2	0	31252135	0	1	2011	12	13	2017_1	2016_1	2015_1	2014_1
GCA_000227375.1	236078	24779298	1	1	2011	8	11	2017_1	2016_1	2015_1	2014_1
GCA_000227395.2	279546	18802389	1	1	2011	8	12	2017_1	2016_1	2015_1	2014_1
GCA_000230245.1	2378	18138966	1	1	2011	8	11	2017_1	2016_1	2015_1	2014_1
GCA_000230625.1	0	26372207	0	1	2011	10	19	2017_1	2016_1	2015_1	2014_1
GCA_000231115.1	0	3148732	0	1	2011	10	21	2017_1	2016_1	2015_1	2014_1
GCA_000231135.1	0	73085728	0	1	2011	10	13	2017_1	2016_1	2015_1	2014_1
GCA_000234665.4	15478	32074503	1	1	2011	11	8	2017_1	2016_1	2015_1	2014_1
GCA_000236345.1	216371	547104041	1	1	2011	11	28	2017_1	2016_1	2015_1	2014_1
GCA_000149205.2	0	30101741	0	1	2012	3	1	2017_1	2016_1	2015_1	2014_1
GCA_000173235.2	1501390	70263251	1	1	2012	1	25	2017_1	2016_1	2015_1	2014_1
GCA_000182805.2	236762	38253120	1	1	2012	3	13	2017_1	2016_1	2015_1	2014_1
GCA_000250695.1	0	4649639	0	1	2012	2	28	2017_1	2016_1	2015_1	2014_1
GCA_000250985.1	0	4029056	0	1	2012	5	14	2017_1	2016_1	2015_1	2014_1
GCA_000271645.1	0	27987508	0	1	2012	6	22	2017_1	2016_1	2015_1	2014_1
GCA_000277815.3	0	2251784	0	1	2012	7	16	2017_1	2016_1	2015_1	2014_1
GCA_000280035.2	0	2187595	0	1	2012	7	19	2017_1	2016_1	2015_1	2014_1
GCA_000298755.1	92910	262590036	1	1	2012	9	20	2017_1	2016_1	2015_1	2014_1
GCA_000302655.1	104649	48882833	1	1	2012	10	3	2017_1	2016_1	2015_1	2014_1
GCA_000333975.2	33443	8179979	1	1	2012	12	19	2017_1	2016_1	2015_1	2014_1
GCA_000342415.1	0	11674479	0	1	2012	12	11	2017_1	2016_1	2015_1	2014_1
GCA_000347355.1	0	30901871	0	1	2012	8	2	2017_1	2016_1	2015_1	2014_1
GCA_000740895.1	0	9006764	0	1	2012	9	5	2017_1	2016_1	2015_1	2014_1
GCF_000183805.2	16983	87518593	1	1	2012	7	6	2017_1	2016_1	2015_1	2014_1
GCF_000257125.1	12563	14351590	1	1	2012	9	27	2017_1	2016_1	2015_1	2014_1
GCA_000006425.2	0	8914723	0	1	2013	12	17	2017_1	2016_1	2015_1	2014_1
GCA_000149845.2	0	11135996	0	1	2013	8	16	2017_1	2016_1	2015_1	2014_1
GCA_000150505.2	0	11262981	0	1	2013	7	30	2017_1	2016_1	2015_1	2014_1
GCA_000182925.2	0	41061603	0	1	2013	10	25	2017_1	2016_1	2015_1	2014_1
GCA_000247585.2	0	53871265	0	1	2013	12	19	2017_1	2016_1	2015_1	2014_1
GCA_000281045.1	0	40460948	0	1	2013	2	22	2017_1	2016_1	2015_1	2014_1
GCA_000293215.1	0	24303834	0	1	2013	1	23	2017_1	2016_1	2015_1	2014_1
GCA_000312925.2	53169	13271357	1	1	2013	3	28	2017_1	2016_1	2015_1	2014_1
GCA_000313135.1	0	39443455	0	1	2013	1	9	2017_1	2016_1	2015_1	2014_1
GCA_000316135.1	48017	7706555	1	1	2013	1	4	2017_1	2016_1	2015_1	2014_1
GCA_000330505.1	13483	40496007	1	1	2013	1	3	2017_1	2016_1	2015_1	2014_1
GCA_000331205.1	25046	6254841	1	1	2013	1	9	2017_1	2016_1	2015_1	2014_1
GCA_000340495.1	0	30965649	0	1	2013	2	21	2017_1	2016_1	2015_1	2014_1
GCA_000341325.1	19665	62073019	1	1	2013	2	22	2017_1	2016_1	2015_1	2014_1
GCA_000350365.1	1135	48808043	1	1	2013	4	4	2017_1	2016_1	2015_1	2014_1
GCA_000365145.2	0	28719617	0	1	2013	12	11	2017_1	2016_1	2015_1	2014_1
GCA_000383075.1	357519	14356492	1	1	2013	4	30	2017_1	2016_1	2015_1	2014_1
GCA_000387425.2	272	42676619	1	1	2013	8	2	2017_1	2016_1	2015_1	2014_1
GCA_000387445.2	0	34264281	0	1	2013	8	2	2017_1	2016_1	2015_1	2014_1
GCA_000387465.2	1519	41664801	1	1	2013	8	2	2017_1	2016_1	2015_1	2014_1
GCA_000387505.2	2570	42804114	1	1	2013	8	2	2017_1	2016_1	2015_1	2014_1
GCA_000387545.2	82	33582665	1	1	2013	8	2	2017_1	2016_1	2015_1	2014_1
GCA_000401635.1	0	34134616	0	1	2013	6	7	2017_1	2016_1	2015_1	2014_1
GCA_000402015.1	1070569	303727273	1	1	2013	6	6	2017_1	2016_1	2015_1	2014_1
GCA_000410715.1	0	31323065	0	1	2013	6	12	2017_1	2016_1	2015_1	2014_1
GCA_000410735.1	0	32504266	0	1	2013	6	14	2017_1	2016_1	2015_1	2014_1
GCA_000430065.1	0	4979932	0	1	2013	7	16	2017_1	2016_1	2015_1	2014_1
GCA_000438535.1	0	29003854	0	1	2013	7	18	2017_1	2016_1	2015_1	2014_1
GCA_000441995.1	0	30871804	0	1	2013	7	29	2017_1	2016_1	2015_1	2014_1
GCA_000442195.1	114173	299070827	1	1	2013	7	31	2017_1	2016_1	2015_1	2014_1
GCA_000443025.1	0	30818428	0	1	2013	8	5	2017_1	2016_1	2015_1	2014_1
GCA_000447185.1	95199	8513856	1	1	2013	8	14	2017_1	2016_1	2015_1	2014_1
GCA_000492115.1	4605	15111138	1	1	2013	10	30	2017_1	2016_1	2015_1	2014_1
GCA_000499385.1	0	54911932	0	1	2013	11	6	2017_1	2016_1	2015_1	2014_1
GCA_000499425.1	5458	45677409	1	1	2013	11	5	2017_1	2016_1	2015_1	2014_1
GCA_000499445.1	2434	55968490	1	1	2013	11	8	2017_1	2016_1	2015_1	2014_1
GCA_000499605.1	2454	45874462	1	1	2013	11	6	2017_1	2016_1	2015_1	2014_1
GCA_000499685.1	1480825	1478571	1	1	2013	11	8	2017_1	2016_1	2015_1	2014_1
GCA_000499725.1	5406	65020649	1	1	2013	11	7	2017_1	2016_1	2015_1	2014_1
GCA_000499745.2	3736	66895571	1	1	2013	11	6	2017_1	2016_1	2015_1	2014_1
GCA_000505645.1	4345952	84806581	1	1	2013	12	12	2017_1	2016_1	2015_1	2014_1
GCA_001077375.1	78971	95347607	1	1	2013	8	23	2017_1	2016_1	2015_1	2014_1
GCA_001077395.1	45559	84878920	1	1	2013	8	23	2017_1	2016_1	2015_1	2014_1
GCA_900079805.1	0	43807812	0	1	2013	8	20	2017_1	2016_1	2015_1	2014_1
GCF_000002985.6	4631	100286401	1	1	2013	2	7	2017_1	2016_1	2015_1	2014_1
GCF_000006565.2	226690	65465022	1	1	2013	8	2	2017_1	2016_1	2015_1	2014_1
GCF_000507365.1	467990	208173610	1	1	2013	12	20	2017_1	2016_1	2015_1	2014_1
GCA_000146045.2	0	12071326	0	1	2014	12	17	2017_1	2016_1	2015_1	2014_2
GCA_000150475.2	0	28836656	0	1	2014	11	13	2017_1	2016_1	2015_1	2014_2
GCA_000150705.2	0	32625232	0	1	2014	11	3	2017_1	2016_1	2015_1	2014_2
GCA_000151545.2	0	48176889	0	1	2014	5	29	2017_1	2016_1	2015_1	2014_1
GCA_000223845.4	65853	13637874	1	1	2014	4	11	2017_1	2016_1	2015_1	2014_1
GCA_000258005.2	5331338	67460985	1	1	2014	6	30	2017_1	2016_1	2015_1	2014_1
GCA_000385855.2	40272	13851317	1	1	2014	5	6	2017_1	2016_1	2015_1	2014_1
GCA_000400815.2	0	36150287	0	1	2014	8	29	2017_1	2016_1	2015_1	2014_2
GCA_000499405.2	6461	93266462	1	1	2014	2	28	2017_1	2016_1	2015_1	2014_1
GCA_000520075.1	8787	58572258	1	1	2014	1	14	2017_1	2016_1	2015_1	2014_1
GCA_000520115.1	0	41452125	0	1	2014	1	15	2017_1	2016_1	2015_1	2014_1
GCA_000524495.1	0	26201470	0	1	2014	1	31	2017_1	2016_1	2015_1	2014_1
GCA_000572305.1	1938419	865581001	1	1	2014	2	21	2017_1	2016_1	2015_1	2014_1
GCA_000585535.1	0	39333014	0	1	2014	3	5	2017_1	2016_1	2015_1	2014_1
GCA_000613005.1	1937554	75481916	1	1	2014	3	26	2017_1	2016_1	2015_1	2014_1
GCA_000688135.1	529	300901610	1	1	2014	3	25	2017_1	2016_1	2015_1	2014_1
GCA_000691245.1	1438	20791447	1	1	2014	5	15	2017_1	2016_1	2015_1	2014_1
GCA_000691995.1	2091918	600352029	1	1	2014	5	30	2017_1	2016_1	2015_1	2014_1
GCA_000697685.1	0	34342639	0	1	2014	6	5	2017_1	2016_1	2015_1	2014_1
GCA_000701005.1	560	71810753	1	1	2014	7	31	2017_1	2016_1	2015_1	2014_2
GCA_000701025.1	10744	69235183	1	1	2014	7	31	2017_1	2016_1	2015_1	2014_2
GCA_000709125.1	0	40982715	0	1	2014	6	16	2017_1	2016_1	2015_1	2014_1
GCA_000715275.1	259654	67348207	1	1	2014	6	27	2017_1	2016_1	2015_1	2014_1
GCA_000723445.1	27269	13840936	1	1	2014	6	26	2017_1	2016_1	2015_1	2014_1
GCA_000723665.1	0	30977301	0	1	2014	6	27	2017_1	2016_1	2015_1	2014_1
GCA_000723685.1	0	23917262	0	1	2014	5	29	2017_1	2016_1	2015_1	2014_1
GCA_000724045.1	343779	103634401	1	1	2014	5	30	2017_1	2016_1	2015_1	2014_1
GCA_000727475.1	6722	122423763	1	1	2014	7	15	2017_1	2016_1	2015_1	2014_2
GCA_000732125.1	0	43202131	0	1	2014	7	21	2017_1	2016_1	2015_1	2014_2
GCA_000732565.1	0	36268535	0	1	2014	7	23	2017_1	2016_1	2015_1	2014_2
GCA_000733445.1	2705	96405388	1	1	2014	7	25	2017_1	2016_1	2015_1	2014_2
GCA_000751915.1	171228	94894093	1	1	2014	6	13	2017_1	2016_1	2015_1	2014_1
GCA_000757705.1	954441	79710583	1	1	2014	9	24	2017_1	2016_1	2015_1	2014_2
GCA_000757745.1	2696381	78888856	1	1	2014	9	24	2017_1	2016_1	2015_1	2014_2
GCA_000757755.1	3156381	89456487	1	1	2014	9	24	2017_1	2016_1	2015_1	2014_2
GCA_000760515.2	100276	5635072	1	1	2014	9	30	2017_1	2016_1	2015_1	2014_2
GCA_000797535.1	95277	62907066	1	1	2014	12	9	2017_1	2016_1	2015_1	2014_2
GCA_000797555.1	0	351605877	0	1	2014	12	15	2017_1	2016_1	2015_1	2014_2
GCA_000803265.1	0	2290528	0	1	2014	12	17	2017_1	2016_1	2015_1	2014_2
GCA_000803305.1	391063	298641369	1	1	2014	12	18	2017_1	2016_1	2015_1	2014_2
GCA_000936265.1	5874	60381969	1	1	2014	11	13	2017_1	2016_1	2015_1	2014_2
GCA_000939815.1	53605	98599102	1	1	2014	9	24	2017_1	2016_1	2015_1	2014_2
GCA_000941615.1	3347041	42219646	1	1	2014	9	26	2017_1	2016_1	2015_1	2014_2
GCA_000944355.1	812	47120089	1	1	2014	9	24	2017_1	2016_1	2015_1	2014_2
GCA_000947175.1	742825	1183504361	1	1	2014	12	1	2017_1	2016_1	2015_1	2014_2
GCA_000947215.1	22420	42661029	1	1	2014	11	13	2017_1	2016_1	2015_1	2014_2
GCA_000950715.1	542868	424790813	1	1	2014	9	24	2017_1	2016_1	2015_1	2014_2
GCA_000951995.1	1132832	1130704756	1	1	2014	9	26	2017_1	2016_1	2015_1	2014_2
GCA_001039655.1	807553	267654222	1	1	2014	1	8	2017_1	2016_1	2015_1	2014_1
GCF_000004555.2	643	105416539	1	1	2014	7	2	2017_1	2016_1	2015_1	2014_2
GCF_000524195.1	3793	110106964	1	1	2014	1	28	2017_1	2016_1	2015_1	2014_1
GCF_000715545.1	2852	572111430	1	1	2014	7	9	2017_1	2016_1	2015_1	2014_2
GCF_000743755.1	39829	12917697	1	1	2014	9	29	2017_1	2016_1	2015_1	2014_2
GCF_001040885.1	5717	42896169	1	1	2014	9	18	2017_1	2016_1	2015_1	2014_2
GCA_000143535.4	0	42630066	0	1	2015	2	5	2017_1	2016_1	2015_1	2015_1
GCA_000149955.2	0	60011252	0	1	2015	8	20	2017_1	2016_1	2015_2	2015_2
GCA_000182565.2	0	23906001	0	1	2015	7	29	2017_1	2016_1	2015_2	2015_2
GCA_000230595.3	0	50748798	0	1	2015	8	5	2017_1	2016_1	2015_2	2015_2
GCA_000328475.2	0	19641656	0	1	2015	2	18	2017_1	2016_1	2015_1	2015_1
GCA_000331325.2	0	41296350	0	1	2015	8	20	2017_1	2016_1	2015_2	2015_2
GCA_000469725.3	422903	112135503	1	1	2015	12	10	2017_1	2016_1	2015_2	2015_2
GCA_000691945.2	0	6466626	0	1	2015	7	30	2017_1	2016_1	2015_2	2015_2
GCA_000814975.1	0	38325361	0	1	2015	1	6	2017_1	2016_1	2015_1	2015_1
GCA_000816705.1	195017	156893894	1	1	2015	3	12	2017_1	2016_1	2015_1	2015_1
GCA_000816745.1	8992	322827410	1	1	2015	1	16	2017_1	2016_1	2015_1	2015_1
GCA_000820605.1	0	33205449	0	1	2015	1	16	2017_1	2016_1	2015_1	2015_1
GCA_000824725.2	522812	1182328283	1	1	2015	1	16	2017_1	2016_1	2015_1	2015_1
GCA_000826245.1	253728	83219492	1	1	2015	1	7	2017_1	2016_1	2015_1	2015_1
GCA_000826265.1	257747	55280243	1	1	2015	1	6	2017_1	2016_1	2015_1	2015_1
GCA_000826285.1	252419	65839791	1	1	2015	1	7	2017_1	2016_1	2015_1	2015_1
GCA_000826305.1	51894	75199922	1	1	2015	1	7	2017_1	2016_1	2015_1	2015_1
GCA_000826325.1	16295218	103249818	1	1	2015	1	7	2017_1	2016_1	2015_1	2015_1
GCA_000826385.1	55474	75191921	1	1	2015	1	7	2017_1	2016_1	2015_1	2015_1
GCA_000826425.1	106086	99062859	1	1	2015	1	7	2017_1	2016_1	2015_1	2015_1
GCA_000826445.1	96961	83321312	1	1	2015	1	7	2017_1	2016_1	2015_1	2015_1
GCA_000826465.1	5318730	106512939	1	1	2015	1	7	2017_1	2016_1	2015_1	2015_1
GCA_000826505.1	121385	114322241	1	1	2015	1	7	2017_1	2016_1	2015_1	2015_1
GCA_000831705.1	0	9509783	0	1	2015	2	3	2017_1	2016_1	2015_1	2015_1
GCA_000835455.1	0	34632884	0	1	2015	2	23	2017_1	2016_1	2015_1	2015_1
GCA_000835475.1	0	36639109	0	1	2015	2	23	2017_1	2016_1	2015_1	2015_1
GCA_000835495.1	0	42968387	0	1	2015	2	23	2017_1	2016_1	2015_1	2015_1
GCA_000835515.1	0	37920466	0	1	2015	2	23	2017_1	2016_1	2015_1	2015_1
GCA_000835555.1	0	32433268	0	1	2015	2	23	2017_1	2016_1	2015_1	2015_1
GCA_000836115.1	0	32873413	0	1	2015	2	23	2017_1	2016_1	2015_1	2015_1
GCA_000836275.1	0	29256826	0	1	2015	2	23	2017_1	2016_1	2015_1	2015_1
GCA_000836295.1	0	31348514	0	1	2015	2	23	2017_1	2016_1	2015_1	2015_1
GCA_000934875.1	1478352	38321349	1	1	2015	2	26	2017_1	2016_1	2015_1	2015_1
GCA_000956335.1	0	22936786	0	1	2015	3	20	2017_1	2016_1	2015_1	2015_1
GCA_000961545.1	0	32374918	0	1	2015	3	24	2017_1	2016_1	2015_1	2015_1
GCA_000963415.1	3977164	15417329	1	1	2015	3	25	2017_1	2016_1	2015_1	2015_1
GCA_000963465.1	125682	11714180	1	1	2015	3	25	2017_1	2016_1	2015_1	2015_1
GCA_000975215.1	0	98298214	0	1	2015	4	21	2017_1	2016_1	2015_1	2015_1
GCA_000981365.1	1285	90087259	1	1	2015	4	2	2017_1	2016_1	2015_1	2015_1
GCA_001026735.1	7708	310835023	1	1	2015	6	12	2017_1	2016_1	2015_1	2015_1
GCA_001028725.1	20713	52138309	1	1	2015	6	2	2017_1	2016_1	2015_1	2015_1
GCA_001179505.1	34792	71768977	1	1	2015	7	8	2017_1	2016_1	2015_2	2015_2
GCA_001188465.1	0	1040124789	0	1	2015	7	29	2017_1	2016_1	2015_2	2015_2
GCA_001263375.1	0	71015930	0	1	2015	8	7	2017_1	2016_1	2015_2	2015_2
GCA_001280985.1	1139	82472903	1	1	2015	9	10	2017_1	2016_1	2015_2	2015_2
GCA_001293395.1	5506	30266237	1	1	2015	9	17	2017_1	2016_1	2015_2	2015_2
GCA_001299535.1	11976	27601262	1	1	2015	9	25	2017_1	2016_1	2015_2	2015_2
GCA_001430925.1	3568463	25568647	1	1	2015	11	3	2017_1	2016_1	2015_2	2015_2
GCA_001430935.1	5874600	27676032	1	1	2015	11	3	2017_1	2016_1	2015_2	2015_2
GCA_001430945.1	8907059	34644497	1	1	2015	11	3	2017_1	2016_1	2015_2	2015_2
GCA_001430955.1	8538254	30395187	1	1	2015	11	3	2017_1	2016_1	2015_2	2015_2
GCA_001432165.1	1635	5248409	1	1	2015	11	5	2017_1	2016_1	2015_2	2015_2
GCA_001444555.1	0	24807186	0	1	2015	11	17	2017_1	2016_1	2015_2	2015_2
GCA_001447425.1	13247	48705307	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447435.1	50715	50567997	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447445.1	10584	45658109	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447455.1	78523	47222616	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447505.1	190914	48785687	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447565.2	18961	47104796	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447575.1	170698	48199882	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447585.1	68612	51167848	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447595.1	13102	49808262	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447645.1	14477	48568222	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447655.1	195500	49674626	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447665.1	203036	50474353	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447675.1	42133	48257612	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447725.1	61245	48104622	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447745.1	2920	49096326	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447755.1	54147	46693037	1	1	2015	11	24	2017_1	2016_1	2015_2	2015_2
GCA_001447935.2	0	11697257	0	1	2015	11	25	2017_1	2016_1	2015_2	2015_2
GCA_001460835.1	10765	38556030	1	1	2015	11	25	2017_1	2016_1	2015_2	2015_2
GCA_000002765.3	0	23332839	0	1	2016	4	7	2017_1	2016_1	2016_1	2016_1
GCA_000151525.2	450557	106563903	1	1	2016	6	6	2017_1	2016_1	2016_1	2016_1
GCA_000182965.3	0	14276300	0	1	2016	10	12	2017_1	2016_2	2016_2	2016_2
GCA_000333855.2	1259	32004424	1	1	2016	9	30	2017_1	2016_2	2016_2	2016_2
GCA_000409445.2	0	30528139	0	1	2016	5	17	2017_1	2016_1	2016_1	2016_1
GCA_000410695.2	0	30769451	0	1	2016	9	16	2017_1	2016_2	2016_2	2016_2
