uniqCon	Accession	fcs	fcs+cont	conter	uniFCS	Overlap
25335	GCA_000143925.2	501,376	526,711	162,107	364,604	136,772
27875	GCA_000145635.1	0	27875	27,875	0	0
259373	GCA_000146045.2	0	259373	259,373	0	0
1695	GCA_000146465.1	0	1695	1,695	0	0
466397	GCA_000147155.1	282,596	748,993	545,395	203,598	78,998
19560	GCA_000149035.1	0	19560	19,560	0	0
9964	GCA_000149205.2	0	9964	9,964	0	0
7260	GCA_000149305.1	0	7260	7,260	0	0
16668	GCA_000149335.2	0	16668	16,668	0	0
27342	GCA_000149425.1	0	27342	27,342	0	0
31855	GCA_000149555.1	0	31855	31,855	0	0
16980	GCA_000149615.1	0	16980	16,980	0	0
54643	GCA_000149645.4	0	54643	54,643	0	0
17122	GCA_000149685.1	0	17122	17,122	0	0
4741	GCA_000149735.1	46,075	50,816	8,824	41,992	4,083
11817	GCA_000149755.2	0	11817	11,817	0	0
10601	GCA_000149845.2	0	10601	10,601	0	0
20343	GCA_000149865.1	0	20343	20,343	0	0
69865	GCA_000149925.1	542	70407	69,865	542	0
152192	GCA_000149955.2	0	152192	152,192	0	0
18607	GCA_000150475.2	0	18607	18,607	0	0
7046	GCA_000150505.2	0	7046	7,046	0	0
43367	GCA_000150705.2	0	43367	43,367	0	0
89698	GCA_000150805.1	34,323	124,021	108,569	15,452	18,871
12775	GCA_000151145.1	0	12775	12,775	0	0
20308	GCA_000151295.1	1,350	21,658	21,658	0	1,350
1845	GCA_000151355.1	0	1845	1,845	0	0
865	GCA_000151425.1	0	865	865	0	0
9482	GCA_000151455.1	0	9482	9,482	0	0
2554421	GCA_000151525.2	450,557	3,004,978	2,619,326	385,652	64,905
11234	GCA_000151545.2	0	11234	11,234	0	0
1143823	GCA_000151775.1	765,634	1,909,457	1,170,903	738,554	27,080
3266	GCA_000165025.1	2,623,097	2,626,363	130,641	2,495,722	127,375
4988	GCA_000165345.1	0	4988	4,988	0	0
5097	GCA_000165365.1	0	5097	5,097	0	0
5134	GCA_000165395.2	0	5134	5,134	0	0
11957	GCA_000167175.1	133,674	145,631	86,069	59,562	74,112
5913	GCA_000167675.2	0	5913	5,913	0	0
25626	GCA_000170175.2	0	25626	25,626	0	0
19863	GCA_000170615.1	65021	84884	54,210	30,674	34,347
19289	GCA_000170995.2	0	19289	19,289	0	0
12341	GCA_000172435.1	175,482	187,823	39,514	148,309	27,173
19412	GCA_000173235.2	1,501,390	1,520,802	118,266	1,402,536	98,854
48785	GCA_000180415.1	7,263	56,048	49,927	6,121	1,142
15731	GCA_000180635.4	0	15731	15,731	0	0
28648	GCA_000180695.1	3,642,442	3,671,090	3,111,595	559,495	3,082,947
18286	GCA_000180755.1	25745	44031	36,125	7,906	17,839
63830	GCA_000181075.1	1,938,419	2,002,249	1,176,707	825,542	1,112,877
5432	GCA_000181695.1	3120	8552	7,542	1,010	2,110
82530	GCA_000181795.3	0	82530	82,530	0	0
7608	GCA_000182565.2	0	7608	7,608	0	0
5941	GCA_000182765.2	0	5941	5,941	0	0
28308	GCA_000182805.2	236,762	265,070	99,533	165,537	71,225
5361	GCA_000182895.1	0	5361	5,361	0	0
79404	GCA_000182925.2	0	79404	79,404	0	0
18729	GCA_000182965.3	0	18729	18,729	0	0
223	GCA_000182985.1	616	839	223	616	0
9277	GCA_000184105.1	107,322	116,599	21,594	95,005	12,317
41771	GCA_000184455.3	0	41771	41,771	0	0
49422	GCA_000185945.1	0	49422	49,422	0	0
12651	GCA_000186765.1	33,866	46,517	18,237	28,280	5,586
12996	GCA_000187025.3	0	12996	12,996	0	0
0	GCA_000192795.1	0	0	0	0	0
21598	GCA_000193285.1	0	21598	21,598	0	0
119558	GCA_000204055.1	4385	123943	123,943	0	4,385
1754	GCA_000208865.2	0	1754	1,754	0	0
2717	GCA_000208925.2	42905	45622	14,525	31,097	11,808
5818	GCA_000209065.1	240,605	246,423	84,586	161,837	78,768
93330	GCA_000209125.2	34500	127830	121,794	6,036	28,464
18784	GCA_000209485.1	237,114	255,898	179,391	76,507	160,607
796	GCA_000213175.1	500	1296	796	500	0
9140	GCA_000219625.1	0	9140	9,140	0	0
110563	GCA_000223415.1	82517	193080	167,270	25,810	56,707
9229	GCA_000223845.4	65,853	75,082	39,365	35,717	30,136
22960	GCA_000225285.2	4,518,059	4,541,019	4,166,798	374,221	4,143,838
7077	GCA_000226095.1	0	7077	7,077	0	0
15827	GCA_000226395.1	1588	17415	17,415	0	1,588
523	GCA_000226545.1	0	523	523	0	0
1242	GCA_000227135.2	0	1242	1,242	0	0
2926	GCA_000227375.1	236078	239004	4,886	234,118	1,960
21949	GCA_000227395.2	279,546	301,495	111,301	190,194	89,352
6610	GCA_000230245.1	2378	8988	8,988	0	2,378
2466	GCA_000230595.3	0	2466	2,466	0	0
457	GCA_000230625.1	0	457	457	0	0
319	GCA_000231115.1	0	319	319	0	0
46697	GCA_000231135.1	0	46697	46,697	0	0
19984	GCA_000234665.4	15,478	35,462	33,990	1,472	14,006
7551	GCA_000236345.1	216371	223922	223,922	0	216,371
1917498	GCA_000237925.5	0	1917498	1,917,498	0	0
5321	GCA_000247585.2	0	5321	5,321	0	0
116	GCA_000250695.1	0	116	116	0	0
115	GCA_000250985.1	0	115	115	0	0
13090	GCA_000258005.2	5,331,338	5,344,428	2,524,349	2,820,079	2,511,259
8544	GCA_000271645.1	0	8544	8,544	0	0
2339	GCA_000277815.3	0	2339	2,339	0	0
0	GCA_000280035.2	0	0	0	0	0
101	GCA_000281045.1	0	101	101	0	0
13328	GCA_000293215.1	0	13328	13,328	0	0
34712	GCA_000298755.1	92,910	127,622	74,537	53,085	39,825
9956	GCA_000302655.1	104,649	114,605	17,147	97,458	7,191
22934	GCA_000312925.2	53,169	76,103	47,568	28,535	24,634
5926	GCA_000313135.1	0	5926	5,926	0	0
0	GCA_000316135.1	48,017	48,017	0	48,017	0
1555	GCA_000328475.2	0	1555	1,555	0	0
2255	GCA_000330505.1	13483	15738	3,842	11,896	1,587
457	GCA_000331205.1	25046	25503	24,044	1,459	23,587
8159	GCA_000331325.2	0	8159	8,159	0	0
14252	GCA_000331935.3	0	14252	14,252	0	0
726	GCA_000333855.2	1259	1985	1,294	691	568
8713	GCA_000333975.2	33,443	42,156	26,921	15,235	18,208
1079	GCA_000340495.1	0	1079	1,079	0	0
2270	GCA_000341325.1	19,665	21,935	14,947	6,988	12,677
5529	GCA_000342415.1	0	5529	5,529	0	0
7267	GCA_000347355.1	0	7267	7,267	0	0
5330	GCA_000350365.1	1,135	6,465	5,330	1,135	0
0	GCA_000365145.2	0	0	0	0	0
17425	GCA_000383075.1	357,519	374,944	225,597	149,347	208,172
1672	GCA_000385855.2	40,272	41,944	1,672	40,272	0
1804	GCA_000387425.2	272	2076	1,804	272	0
4060	GCA_000387445.2	0	4060	4,060	0	0
4320	GCA_000387465.2	1,519	5,839	4,320	1,519	0
2648	GCA_000387505.2	2,570	5,218	2,648	2,570	0
5062	GCA_000387545.2	82	5144	5,062	82	0
15692	GCA_000400815.2	0	15692	15,692	0	0
1224	GCA_000401635.1	0	1224	1,224	0	0
3810	GCA_000402015.1	1,070,569	1,074,379	11,808	1,062,571	7,998
937	GCA_000409445.2	0	937	937	0	0
950	GCA_000410695.2	0	950	950	0	0
853	GCA_000410715.1	0	853	853	0	0
676	GCA_000410735.1	0	676	676	0	0
908	GCA_000410755.2	0	908	908	0	0
0	GCA_000430065.1	0	0	0	0	0
534	GCA_000438535.1	0	534	534	0	0
16757	GCA_000439145.3	0	16757	16,757	0	0
758	GCA_000441995.1	0	758	758	0	0
4937	GCA_000442195.1	114,173	119,110	9,324	109,786	4,387
452	GCA_000443025.1	0	452	452	0	0
448	GCA_000444285.2	1993	2441	448	1,993	0
235	GCA_000447185.1	95,199	95,434	235	95,199	0
19603	GCA_000469685.2	0	19603	19,603	0	0
37746	GCA_000469725.3	428,363	466,109	38,939	427,170	1,193
19985	GCA_000469805.3	0	19985	19,985	0	0
0	GCA_000492115.1	4605	4605	0	4,605	0
116	GCA_000497125.2	0	116	116	0	0
4112	GCA_000499385.1	0	4112	4,112	0	0
53458	GCA_000499405.2	6,461	59,919	54,935	4,984	1,477
5150	GCA_000499425.1	5,458	10,608	8,974	1,634	3,824
4571	GCA_000499445.1	2,434	7,005	4,571	2,434	0
14176	GCA_000499605.1	2,454	16,630	16,630	0	2,454
0	GCA_000499685.1	1,480,825	1,480,825	1,478,571	2,254	1,478,571
6829	GCA_000499725.1	5,406	12,235	11,048	1,187	4,219
5901	GCA_000499745.2	3,736	9,637	8,811	826	2,910
33334	GCA_000505645.1	4,345,952	4,379,286	3,222,618	1,156,668	3,189,284
666	GCA_000507425.3	0	666	666	0	0
181	GCA_000507465.3	0	181	181	0	0
0	GCA_000512565.2	0	0	0	0	0
0	GCA_000512585.2	0	0	0	0	0
12097	GCA_000520075.1	8,787	20,884	20,784	100	8,687
4716	GCA_000520115.1	0	4716	4,716	0	0
1993	GCA_000524495.1	0	1993	1,993	0	0
54889	GCA_000572305.1	1,499,757	1,554,646	59,691	1,494,955	4,802
199	GCA_000585535.1	0	199	199	0	0
20826	GCA_000612645.2	0	20826	20,826	0	0
14659	GCA_000613005.1	1,937,554	1,952,213	1,925,595	26,618	1,910,936
6330	GCA_000688135.1	529	6859	6,859	0	529
393	GCA_000691245.1	1438	1831	393	1,438	0
4388	GCA_000691945.2	0	4388	4,388	0	0
31980	GCA_000691995.1	2,091,918	2,123,898	36,925	2,086,973	4,945
11945	GCA_000697685.1	0	11945	11,945	0	0
8281	GCA_000701005.1	560	8841	8,556	285	275
10171	GCA_000701025.1	10,744	20,915	11,243	9,672	1,072
541	GCA_000709125.1	0	541	541	0	0
4349	GCA_000715275.1	259,654	264,003	15,029	248,974	10,680
15097	GCA_000723445.1	27269	42366	42,366	0	27,269
1394	GCA_000723665.1	0	1394	1,394	0	0
2284	GCA_000723685.1	0	2284	2,284	0	0
26079	GCA_000724045.1	343,779	369,858	110,682	259,176	84,603
2828	GCA_000727475.1	6722	9550	2,828	6,722	0
7126	GCA_000732125.1	0	7126	7,126	0	0
5344	GCA_000732565.1	0	5344	5,344	0	0
485302	GCA_000733445.1	2,705	488,007	485,302	2,705	0
5086	GCA_000740895.1	0	5086	5,086	0	0
4615	GCA_000751915.1	171,228	175,843	123,274	52,569	118,659
4852	GCA_000757645.3	0	4852	4,852	0	0
2472	GCA_000757705.1	954,441	956,913	807,468	149,445	804,996
17677	GCA_000757745.1	2,696,381	2,714,058	1,720,292	993,766	1,702,615
10676	GCA_000757755.1	3,156,381	3,167,057	2,567,827	599,230	2,557,151
4031	GCA_000760515.2	100276	104307	4,031	100,276	0
5991	GCA_000769155.2	239,384	245,375	15,693	229,682	9,702
3227	GCA_000797535.1	95,277	98,504	51,642	46,862	48,415
2580	GCA_000797555.1	0	2580	2,580	0	0
351	GCA_000803265.1	0	351	351	0	0
26878	GCA_000803305.1	391,063	417,941	293,148	124,793	266,270
6967	GCA_000814975.1	0	6967	6,967	0	0
27724	GCA_000816705.1	195,017	222,741	39,488	183,253	11,764
7892	GCA_000816745.1	8992	16884	13,785	3,099	5,893
10648	GCA_000820605.1	0	10648	10,648	0	0
30485	GCA_000824725.2	522,812	553,297	121,784	431,513	91,299
2318	GCA_000826245.1	253,728	256,046	48,350	207,696	46,032
3944	GCA_000826265.1	257,747	261,691	52,091	209,600	48,147
1698	GCA_000826285.1	252,419	254,117	100,156	153,961	98,458
6655	GCA_000826305.1	51,894	58,549	16,596	41,953	9,941
12694	GCA_000826325.1	16,295,218	16,307,912	7,682,252	8,625,660	7,669,558
12462	GCA_000826385.1	55,474	67,936	28,064	39,872	15,602
8016	GCA_000826425.1	106,086	114,102	39,979	74,123	31,963
10807	GCA_000826445.1	96,961	107,768	19,238	88,530	8,431
11208	GCA_000826465.1	5,318,730	5,329,938	3,667,624	1,662,314	3,656,416
7538	GCA_000826505.1	121,385	128,923	20,048	108,875	12,510
2809	GCA_000831705.1	0	2809	2,809	0	0
541	GCA_000835455.1	0	541	541	0	0
272	GCA_000835475.1	0	272	272	0	0
323	GCA_000835495.1	0	323	323	0	0
330	GCA_000835515.1	0	330	330	0	0
0	GCA_000835555.1	0	0	0	0	0
99	GCA_000836115.1	0	99	99	0	0
143	GCA_000836275.1	0	143	143	0	0
270	GCA_000836295.1	0	270	270	0	0
16124	GCA_000934875.1	1478352	1494476	1,393,114	101,362	1,376,990
2385	GCA_000936265.1	5,874	8,259	7,147	1,112	4,762
453656	GCA_000939815.1	53,605	507,261	505,743	1,518	52,087
3523	GCA_000941615.1	3,347,041	3,350,564	2,783,579	566,985	2,780,056
1233	GCA_000944355.1	812	2045	2,045	0	812
29883	GCA_000947175.1	742,825	772,708	121,182	651,526	91,299
511	GCA_000947215.1	22,420	22,931	511	22,420	0
183130	GCA_000950515.2	4,710,931	4,894,061	3,120,540	1,773,521	2,937,410
2922	GCA_000950715.1	542,868	545,790	2,922	542,868	0
6596	GCA_000951995.1	1,132,832	1,139,428	82,289	1,057,139	75,693
1445	GCA_000956335.1	0	1445	1,445	0	0
8132	GCA_000961545.1	0	8132	8,132	0	0
4777	GCA_000963415.1	3,977,164	3,981,941	2,163,159	1,818,782	2,158,382
1723	GCA_000963465.1	125682	127405	93,554	33,851	91,831
164068	GCA_000975215.1	0	164068	164,068	0	0
4330	GCA_000981365.1	1285	5615	4,330	1,285	0
58329	GCA_001026735.1	7708	66037	58,329	7,708	0
3929	GCA_001028725.1	20,713	24,642	24,827	0	20713
27064	GCA_001029375.2	77511	104575	28,932	75,643	1,868
6005	GCA_001039655.1	807,553	813,558	68,962	744,596	62,957
50518	GCA_001077375.1	78,971	129,489	119,225	10,264	68,707
99907	GCA_001077395.1	45,559	145,466	133,269	12,197	33,362
3008	GCA_001179505.1	34,792	37,800	34,723	3,077	31,715
3125506	GCA_001188465.1	0	3125506	3,125,506	0	0
7436	GCA_001263375.1	0	7436	7,436	0	0
18493	GCA_001280985.1	1139	19632	19,632	0	1,139
2007	GCA_001293395.1	5506	7513	5,430	2,083	3,423
2149	GCA_001299535.1	11,976	14,125	13,107	1,018	10,958
4428	GCA_001430925.1	3,568,463	3,572,891	629,231	2,943,660	624,803
3072	GCA_001430935.1	5,874,600	5,877,672	1,013,014	4,864,658	1,009,942
2832	GCA_001430945.1	8,907,059	8,909,891	1,816,574	7,093,317	1,813,742
1489	GCA_001430955.1	8,538,254	8,539,743	1,649,266	6,890,477	1,647,777
0	GCA_001432165.1	1635	1635	0	1,635	0
9898	GCA_001444555.1	0	9898	9,898	0	0
80171	GCA_001445615.2	0	80171	80,171	0	0
6683	GCA_001447425.1	13247	19930	8,752	11,178	2,069
8481	GCA_001447435.1	50715	59196	23,666	35,530	15,185
2267	GCA_001447445.1	10584	12851	5,628	7,223	3,361
3411	GCA_001447455.1	78523	81934	5,107	76,827	1,696
9892	GCA_001447505.1	190914	200806	30,272	170,534	20,380
11512	GCA_001447565.2	18961	30473	17,229	13,244	5,717
8308	GCA_001447575.1	170,698	179,006	32,628	146,378	24,320
7504	GCA_001447585.1	68612	76116	23,921	52,195	16,417
6693	GCA_001447595.1	13,102	19,795	7,472	12,323	779
4017	GCA_001447645.1	14,477	18,494	6,769	11,725	2,752
9948	GCA_001447655.1	195500	205448	15,593	189,855	5,645
4298	GCA_001447665.1	203,036	207,334	19,711	187,623	15,413
6615	GCA_001447675.1	42133	48748	22,603	26,145	15,988
5573	GCA_001447725.1	61245	66818	17,341	49,477	11,768
8289	GCA_001447745.1	2920	11209	8,289	2,920	0
6473	GCA_001447755.1	54147	60620	19,708	40,912	13,235
7178	GCA_001447935.2	0	7178	7,178	0	0
5359	GCA_001457755.2	9208	14567	14,567	0	9,208
634	GCA_001460835.1	10,765	11,399	9,899	1,500	9,265
1273797	GCA_001483305.2	766599	2040396	1,705,096	335,300	431,299
957	GCA_001513535.1	267,073	268,030	957	267,073	0
155400	GCA_001555675.1	620,968	776,368	464,510	311,858	309,110
911	GCA_001579705.1	1,494	2,405	911	1,494	0
2379	GCA_001593445.1	0	2379	2,379	0	0
11223	GCA_001593455.1	1621	12844	12,844	0	1,621
252	GCA_001598995.1	0	252	252	0	0
309	GCA_001599035.1	0	309	309	0	0
1436	GCA_001602025.1	0	1436	1,436	0	0
291	GCA_001625125.1	240,358	240,649	401	240,248	110
33617	GCA_001630785.1	4,863,935	4,897,552	3,899,405	998,147	3,865,788
8559	GCA_001636715.1	0	8559	8,559	0	0
9222	GCA_001638945.1	0	9222	9,222	0	0
12177	GCA_001638985.2	0	12177	12,177	0	0
3313	GCA_001642055.1	0	3313	3,313	0	0
116	GCA_001642395.1	0	116	116	0	0
347	GCA_001642415.1	0	347	347	0	0
19304	GCA_001643675.2	0	19304	19,304	0	0
1273719	GCA_001643685.2	757776	2031495	1,697,370	334,125	423,651
11685	GCA_001643735.4	3,133	14,818	11,685	3,133	0
521	GCA_001660665.1	0	521	521	0	0
2358	GCA_001680005.1	0	2358	2,358	0	0
1991	GCA_001680135.1	22,521	24,512	6,171	18,341	4,180
5453	GCA_001692895.1	0	5453	5,453	0	0
3347	GCA_001693035.2	1,173	4,520	3,347	1,173	0
2028	GCA_001693075.2	0	2028	2,028	0	0
4651	GCA_001700775.1	0	4651	4,651	0	0
19590	GCA_001717485.1	0	19590	19,590	0	0
2905	GCA_001723225.1	7,078	9,983	2,905	7,078	0
11583	GCA_001747055.1	0	11583	11,583	0	0
0	GCA_001839685.1	713	713	713	0	713
43800	GCA_001857865.1	0	43800	43,800	0	0
3149	GCA_001865345.1	0	3149	3,149	0	0
2419	GCA_001865355.1	0	2419	2,419	0	0
6485	GCA_001870725.1	168,391	174,876	95,407	79,469	88,922
412	GCA_001875675.1	954	1366	412	954	0
9803	GCA_001883805.1	0	9803	9,803	0	0
489	GCA_001883825.1	0	489	489	0	0
1352	GCA_001884285.1	6,757	8,109	1,828	6,281	476
4224	GCA_001889945.1	0	4224	4,224	0	0
4857	GCA_001890105.1	0	4857	4,857	0	0
123	GCA_001890125.1	0	123	123	0	0
5817	GCA_001890685.1	0	5817	5,817	0	0
1298	GCA_001890705.1	0	1298	1,298	0	0
2059	GCA_001890725.1	0	2059	2,059	0	0
3424	GCA_001890745.1	0	3424	3,424	0	0
4026	GCA_001890805.1	0	4026	4,026	0	0
22240	GCA_001890905.1	535	22775	22,775	0	535
125183	GCA_001923025.3	0	125183	125,183	0	0
184887	GCA_001938485.1	773,183	958,070	190,758	767,312	5,871
19516	GCA_001938525.1	2,363,657	2,383,173	20,632	2,362,541	1,116
40202	GCA_001983305.1	0	40202	40,202	0	0
867	GCA_001990785.1	12,146	13,013	5,140	7,873	4,273
38434	GCA_001990825.1	81,236	119,670	43,926	75,744	5,492
101107	GCA_002006685.2	0	101107	101,107	0	0
98703	GCA_002079055.1	0	98703	98,703	0	0
1049	GCA_002081675.1	4217	5266	5,266	0	4,217
1127	GCA_002082475.1	2244	3371	1,664	1,707	537
330	GCA_002083745.1	0	330	330	0	0
1453	GCA_002087225.1	0	1453	1,453	0	0
0	GCA_002087885.1	2,979	2,979	0	2,979	0
193	GCA_002087915.1	94949	95142	2,113	93,029	1,920
3045	GCA_002095265.1	4163	7208	6,907	301	3,862
62041	GCA_002110485.1	0	62041	62,041	0	0
36896	GCA_002127715.1	0	36896	36,896	0	0
81398	GCA_002148645.1	7005	88403	82,477	5,926	1,079
13331	GCA_002207785.1	563	13894	13,331	563	0
71052	GCA_002221485.1	0	71052	71,052	0	0
848	GCA_002221735.1	3194	4042	2,371	1,671	1,523
21534	GCA_002237265.2	0	21534	21,534	0	0
6281	GCA_002247145.1	0	6281	6,281	0	0
3996	GCA_002249935.1	297,099	301,095	43,016	258,079	39,020
23262	GCA_002259205.1	18,913	42,175	28,291	13,884	5,029
20728	GCA_002259215.1	16,824	37,552	25,932	11,620	5,204
20458	GCA_002259225.3	0	20458	20,458	0	0
15216	GCA_002259235.2	0	15216	15,216	0	0
105286	GCA_002269645.1	0	105286	105,286	0	0
3635	GCA_002271815.1	0	3635	3,635	0	0
99948	GCA_002276285.1	311	100259	99,948	311	0
80032	GCA_002287525.1	5,803,215	5,883,247	4,544,353	1,338,894	4,464,321
442321	GCA_002352805.1	2156	444477	443,436	1,041	1,115
8627	GCA_002563875.1	5919	14546	14,546	0	5,919
6489	GCA_002600585.1	11,309	17,798	11,849	5,949	5,360
36753	GCA_002600895.1	0	36753	36,753	0	0
75758	GCA_002742825.1	0	75758	75,758	0	0
5551	GCA_002749535.1	26,793	32,344	7,853	24,491	2,302
24240	GCA_002759435.2	0	24240	24,240	0	0
14034	GCA_002763495.2	328,513	342,547	14,034	328,513	0
7825	GCA_002778205.2	0	7825	7,825	0	0
6027	GCA_002796945.1	9,035	15,062	9,172	5,890	3,145
85850	GCA_002846915.2	0	85850	85,850	0	0
108735	GCA_002847465.1	0	108735	108,735	0	0
104687	GCA_002847485.1	0	104687	104,687	0	0
277922	GCA_002849105.1	0	277922	277,922	0	0
6167	GCA_002867515.3	7,288	13,455	6,167	7,288	0
34675	GCA_002897235.1	48518	83193	79,155	4,038	44,480
9254	GCA_002911725.1	0	9254	9,254	0	0
350	GCA_002914575.1	0	350	350	0	0
25485	GCA_002920065.1	0	25485	25,485	0	0
323	GCA_002921335.1	0	323	323	0	0
50678	GCA_002926055.1	0	50678	50,678	0	0
21807	GCA_002926085.1	0	21807	21,807	0	0
10665	GCA_002954075.1	0	10665	10,665	0	0
2995	GCA_003012265.1	16,631	19,626	4,995	14,631	2,000
7445	GCA_003013735.1	0	7445	7,445	0	0
28072	GCA_003052745.1	0	28072	28,072	0	0
12630	GCA_003054445.1	0	12630	12,630	0	0
501	GCA_003118255.1	70,460	70,961	50,542	20,419	50,041
137081	GCA_003133805.1	0	137081	137,081	0	0
84313	GCA_003184535.1	864	85177	85,177	0	864
360419	GCA_003184545.1	0	360419	360,419	0	0
5114	GCA_003184825.1	0	5114	5,114	0	0
14814	GCA_003290485.1	0	14814	14,814	0	0
611	GCA_003324165.2	0	611	611	0	0
8977	GCA_003336725.1	8,447	17,424	8,977	8,447	0
11311	GCA_003604175.2	0	11311	11,311	0	0
1800	GCA_003640385.1	57,375	59,175	8,007	51,168	6,207
13458	GCA_003693565.1	213	13671	13,458	213	0
5231	GCA_003693605.1	0	5231	5,231	0	0
17141	GCA_003693625.1	0	17141	17,141	0	0
1645	GCA_003693645.1	0	1645	1,645	0	0
9579	GCA_003693675.1	980	10559	9,579	980	0
10421	GCA_003814445.1	0	10421	10,421	0	0
6465	GCA_003843895.1	13,853	20,318	16,980	3,338	10,515
14685795	GCA_003958945.1	1,689	14,687,484	14,685,980	1,504	185
95715	GCA_004000055.1	0	95715	95,715	0	0
0	GCA_004000155.1	53,982	53,982	0	53,982	0
15173	GCA_004026265.1	172463	187636	29,658	157,978	14,485
51957	GCA_004125335.1	5,174,485	5,226,442	104,287	5,122,155	52,330
37724	GCA_004128815.1	19,667	57,391	49,349	8,042	11,625
8773	GCA_004148225.2	10,118	18,891	8,773	10,118	0
2742	GCA_004194705.1	127981	130723	90,606	40,117	87,864
0	GCA_004325045.1	2127	2127	0	2,127	0
0	GCA_004325065.1	1258	1258	0	1,258	0
35378	GCA_004359215.2	0	35378	35,378	0	0
180258	GCA_004526295.1	0	180258	180,258	0	0
151898	GCA_004785735.1	21,254,506	21,406,404	4,639,164	16,767,240	4,487,266
7089	GCA_004794785.1	0	7089	7,089	0	0
15559	GCA_004798825.1	0	15559	15,559	0	0
2486	GCA_004936735.2	0	2486	2,486	0	0
54728	GCA_005281725.1	23,507	78,235	67,679	10,556	12,951
29671	GCA_005323645.1	1632	31303	29,671	1,632	0
2133	GCA_005656395.1	0	2133	2,133	0	0
0	GCA_006247105.1	0	0	0	0	0
255848	GCA_006368765.1	2732117	2987965	274,272	2,713,693	18,424
25202	GCA_006461475.1	0	25202	25,202	0	0
65191	GCA_006503575.1	1,335,496	1,400,687	789,790	610,897	724,599
2398	GCA_006535955.1	0	2398	2,398	0	0
2619	GCA_007210665.1	0	2619	2,619	0	0
21290	GCA_007213375.1	8361266	8382556	7,286,501	1,096,055	7,265,211
4175	GCA_007637855.2	696	4871	4,620	251	445
0	GCA_007674295.1	0	0	0	0	0
13110	GCA_008080495.1	0	13110	13,110	0	0
16492	GCA_008360955.1	57,361	73,853	16,492	57,361	0
14724	GCA_008508345.1	96,330	111,054	14,724	96,330	0
8719	GCA_008704595.1	526	9245	9,245	0	526
391	GCA_008704605.1	0	391	391	0	0
70155	GCA_008728235.1	0	70155	70,155	0	0
28813	GCA_008729115.1	852,037	880,850	127,415	753,435	98,602
2486	GCA_008807755.1	0	2486	2,486	0	0
6395	GCA_008807775.1	0	6395	6,395	0	0
3146	GCA_008807795.1	0	3146	3,146	0	0
5102	GCA_008807815.1	213	5315	5,102	213	0
4900	GCA_009176385.1	0	4900	4,900	0	0
2828	GCA_009193035.1	56,512	59,340	31,795	27,545	28,967
19213	GCA_009650685.1	0	19213	19,213	0	0
2138	GCA_009724625.1	73,331	75,469	10,536	64,933	8,398
9033	GCA_009735665.1	596,747	605,780	76,059	529,721	67,026
1171	GCA_009761265.1	0	1171	1,171	0	0
2730	GCA_009768925.2	0	2730	2,730	0	0
2542	GCA_009792415.2	0	2542	2,542	0	0
8686	GCA_009829315.1	684,784	693,470	20,248	673,222	11,562
36252	GCA_010367655.1	148,091	184,343	64,581	119,762	28,329
33690	GCA_010367685.1	58,241	91,931	66,398	25,533	32,708
12896	GCA_011764315.1	28,263	41,159	32,476	8,683	19,580
1773	GCA_012064415.1	33866	35639	2,607	33,032	834
84189	GCA_012070555.1	62,290	146,479	84,189	62,290	0
