Species	NCBI/VEuPathDB Accession ID	Taxonomic group	Length of contamination (bp)	Contaminant species
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Viridiplantae	274	Prunus persica
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	185	Escherichia sp.
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	455	Pseudomonas alloputida
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	956	Pseudomonas asgharzadehiana
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	871	Pseudomonas avellanae
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	260	Pseudomonas californiensis
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	1076	Pseudomonas cannabina
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	1166	Pseudomonas floridensis
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	619	Pseudomonas grimontii
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	323	Pseudomonas kurunegalensis
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	250	Pseudomonas lactis
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	419	Pseudomonas lactucae
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	1154	Pseudomonas meliae
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	318	Pseudomonas protegens
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	279	Pseudomonas qingdaonensis
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	5639	Pseudomonas savastanoi
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	1059	Pseudomonas sp.
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	36323	Pseudomonas syringae
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	796	Pseudomonas tremae
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	274	Pseudoxanthomonas suwonensis
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	252	Pseudoxanthomonas winnipegensis
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	263	Rhizobium laguerreae
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	796	Xanthomonas albilineans
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	941	Xanthomonas axonopodis
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	404	Xanthomonas campestris
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	606	Xanthomonas cannabis
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	1302	Xanthomonas cassavae
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	281	Xanthomonas dyei
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	302	Xanthomonas melonis
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	727	Xanthomonas nasturtii
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	1037	Xanthomonas oryzae
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	488	Xanthomonas phaseoli
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	497	Xanthomonas prunicola
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Bacteria	30171	Xanthomonas vasicola
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Virus	250	Pseudomonas baltica
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Virus	289	NA
Talaromyces marneffei ATCC 18224	GCA_000001985.1	Fungi	5857	Debaryomyces hansenii
Talaromyces marneffei ATCC 18224	GCA_000001985.1	Fungi	8924	Debaryomyces sp.
Talaromyces marneffei ATCC 18224	GCA_000001985.1	Fungi	39175	[Candida] psychrophila
Talaromyces marneffei ATCC 18224	GCA_000001985.1	Bacteria	923	Pseudomonas lactis
Talaromyces marneffei ATCC 18224	GCA_000001985.1	Bacteria	690	Vibrio mimicus
Talaromyces marneffei ATCC 18224	GCA_000001985.1	Virus	1099	Scheffersomyces lignosus
Aspergillus clavatus NRRL 1	GCA_000002715.1	Viridiplantae	14541	Medicago truncatula
Aspergillus clavatus NRRL 1	GCA_000002715.1	Virus	1176	Alicyclobacillus fastidiosus
Leishmania braziliensis MHOM/BR/75/M2904	GCA_000002845.2	Metazoa	2421	Danio rerio
Aspergillus niger CBS 513.88	GCA_000002855.2	Virus	516	Pankowvirus pv1717
Talaromyces stipitatus ATCC 10500	GCA_000003125.1	Bacteria	769	Acinetobacter guillouiae
Talaromyces stipitatus ATCC 10500	GCA_000003125.1	Bacteria	419	Candidatus Thermochlorobacter
Naegleria gruberi	GCA_000004985.1	Bacteria	1075	Delftia acidovorans
Naegleria gruberi	GCA_000004985.1	Bacteria	1054	Herbaspirillum huttiense
Aspergillus flavus NRRL3357	GCA_000006275.3	Metazoa	1812	Aedes aegypti
Aspergillus flavus NRRL3357	GCA_000006275.3	Bacteria	4106	Chlamydia suis
Aspergillus flavus NRRL3357	GCA_000006275.3	Bacteria	2643	Metamycoplasma orale
Aspergillus flavus NRRL3357	GCA_000006275.3	Other eukaryotes	3074	Entamoeba invadens
Plasmodium knowlesi strain H	GCA_000006355.3	Metazoa	5604	Homo sapiens
Plasmodium knowlesi strain H	GCA_000006355.3	Metazoa	10740	Macaca fascicularis
Plasmodium knowlesi strain H	GCA_000006355.3	Virus	542	BeAn 58058
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	4494	Cohnella lubricantis
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	2807	Cohnella pontilimi
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	2664	Cohnella thermotolerans
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	5376	Cohnella zeiphila
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	2854	Metabacillus sediminilitoris
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	2905	Paenibacillus albilobatus
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	3746	Paenibacillus artemisiicola
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	11617	Paenibacillus barengoltzii
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	2565	Paenibacillus borealis
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	3134	Paenibacillus brevis
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	3423	Paenibacillus cellulositrophicus
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	4856	Paenibacillus etheri
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	1527	Paenibacillus eucommiae
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	6677	Paenibacillus glycanilyticus
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	3031	Paenibacillus harenae
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	795	Paenibacillus herberti
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	3231	Paenibacillus illinoisensis
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	2574	Paenibacillus lemnae
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	106310	Paenibacillus physcomitrellae
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	65833	Paenibacillus pinistramenti
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	2795	Paenibacillus roseus
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	8693	Paenibacillus selenitireducens
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	2810	Paenibacillus silagei
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	5246	Paenibacillus tuaregi
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	2605	Paenibacillus xylanilyticus
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	230397	Paenibacillus yonginensis
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	2644	Paenibacillus zanthoxyli
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	3478	Saccharibacillus brassicae
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	10399	Saccharibacillus kuerlensis
Phytophthora infestans T30-4	GCA_000142945.1	Bacteria	1033	Saccharibacillus sacchari
Caenorhabditis brenneri	GCA_000143925.2	Metazoa	15431	Callithrix jacchus
Caenorhabditis brenneri	GCA_000143925.2	Viridiplantae	611	Zea mays
Caenorhabditis brenneri	GCA_000143925.2	Viridiplantae	510	NA
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	4681	Paenibacillus alba
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	18570	Paenibacillus barcinonensis
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	4437	Paenibacillus castaneae
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	4258	Paenibacillus catalpae
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	4149	Paenibacillus donghaensis
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	4283	Paenibacillus farraposensis
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	15013	Paenibacillus illinoisensis
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	5022	Paenibacillus pabuli
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	10686	Paenibacillus polysaccharolyticus
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	5009	Paenibacillus silvae
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	27122	Paenibacillus taichungensis
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	4614	Paenibacillus tritici
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	344261	Paenibacillus xylanexedens
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	9629	Paenibacillus xylanilyticus
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	4428	Paenibacillus xylanivorans
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	4452	Saccharibacillus brassicae
Caenorhabditis brenneri	GCA_000143925.2	Bacteria	14210	Tumebacillus avium
Caenorhabditis japonica	GCA_000147155.1	Metazoa	2369	Eurytemora affinis
Caenorhabditis japonica	GCA_000147155.1	Fungi	521	NA
Caenorhabditis japonica	GCA_000147155.1	Bacteria	1057	Agrococcus lahaulensis
Caenorhabditis japonica	GCA_000147155.1	Bacteria	1024	Agrococcus pavilionensis
Caenorhabditis japonica	GCA_000147155.1	Bacteria	60809	Ancylobacter oerskovii
Caenorhabditis japonica	GCA_000147155.1	Bacteria	2611	Brevibacterium atlanticum
Caenorhabditis japonica	GCA_000147155.1	Bacteria	1157	Brevibacterium aurantiacum
Caenorhabditis japonica	GCA_000147155.1	Bacteria	1097	Brevibacterium marinum
Caenorhabditis japonica	GCA_000147155.1	Bacteria	1564	Brevibacterium oceani
Caenorhabditis japonica	GCA_000147155.1	Bacteria	1024	Brevibacterium pigmentatum
Caenorhabditis japonica	GCA_000147155.1	Bacteria	2905	Brevibacterium renqingii
Caenorhabditis japonica	GCA_000147155.1	Bacteria	1156	Brevibacterium sediminis
Caenorhabditis japonica	GCA_000147155.1	Bacteria	1072	Brevibacterium siliguriense
Caenorhabditis japonica	GCA_000147155.1	Bacteria	2298	Brevibacterium sp.
Caenorhabditis japonica	GCA_000147155.1	Bacteria	1010	Glutamicibacter arilaitensis
Caenorhabditis japonica	GCA_000147155.1	Bacteria	1197	Paenibacillus allorhizosphaerae
Caenorhabditis japonica	GCA_000147155.1	Bacteria	72629	Paenibacillus glucanolyticus
Caenorhabditis japonica	GCA_000147155.1	Bacteria	1003	Paenibacillus illinoisensis
Caenorhabditis japonica	GCA_000147155.1	Bacteria	1706	Paenibacillus selenitireducens
Caenorhabditis japonica	GCA_000147155.1	Bacteria	56301	Paenibacillus taichungensis
Caenorhabditis japonica	GCA_000147155.1	Bacteria	15104	Paenibacillus xylanexedens
Caenorhabditis japonica	GCA_000147155.1	Bacteria	4588	Paenibacillus xylanilyticus
Caenorhabditis japonica	GCA_000147155.1	Bacteria	41484	Paenibacillus xylanivorans
Caenorhabditis japonica	GCA_000147155.1	Bacteria	744	NA
Caenorhabditis japonica	GCA_000147155.1	Virus	6166	Sleepyheadvirus sleepyhead
Phytophthora ramorum	GCA_000149735.1	Fungi	7921	Phakopsora pachyrhizi
Phytophthora ramorum	GCA_000149735.1	Fungi	2068	Saccharomyces cerevisiae
Phytophthora ramorum	GCA_000149735.1	Bacteria	36086	Escherichia coli
Puccinia graminis f. sp. tritici CRL 75-36-700-3	GCA_000149925.1	Metazoa	542	Oryctolagus cuniculus
Heterodera glycines	GCA_000150805.1	Metazoa	697	Diabrotica virgifera
Heterodera glycines	GCA_000150805.1	Metazoa	454	Homo sapiens
Heterodera glycines	GCA_000150805.1	Fungi	1737	NA
Heterodera glycines	GCA_000150805.1	Viridiplantae	9653	Glycine max
Heterodera glycines	GCA_000150805.1	Bacteria	786	Achromobacter sp.
Heterodera glycines	GCA_000150805.1	Bacteria	170	Acinetobacter johnsonii
Heterodera glycines	GCA_000150805.1	Bacteria	99	Aeromonas hydrophila
Heterodera glycines	GCA_000150805.1	Bacteria	83	Erwinia toletana
Heterodera glycines	GCA_000150805.1	Bacteria	89	Escherichia sp.
Heterodera glycines	GCA_000150805.1	Bacteria	87	Klebsiella pneumoniae
Heterodera glycines	GCA_000150805.1	Bacteria	113	Luteimonas colneyensis
Heterodera glycines	GCA_000150805.1	Bacteria	326	Moraxella atlantae
Heterodera glycines	GCA_000150805.1	Bacteria	107	Moraxella osloensis
Heterodera glycines	GCA_000150805.1	Bacteria	1794	Paenibacillus frigoriresistens
Heterodera glycines	GCA_000150805.1	Bacteria	72	Pasteurella multocida
Heterodera glycines	GCA_000150805.1	Bacteria	101	Pseudomonas alcaliphila
Heterodera glycines	GCA_000150805.1	Bacteria	80	Pseudomonas alloputida
Heterodera glycines	GCA_000150805.1	Bacteria	685	Pseudomonas arcuscaelestis
Heterodera glycines	GCA_000150805.1	Bacteria	82	Pseudomonas bharatica
Heterodera glycines	GCA_000150805.1	Bacteria	223	Pseudomonas hunanensis
Heterodera glycines	GCA_000150805.1	Bacteria	90	Pseudomonas hydrolytica
Heterodera glycines	GCA_000150805.1	Bacteria	87	Pseudomonas kurunegalensis
Heterodera glycines	GCA_000150805.1	Bacteria	114	Pseudomonas mendocina
Heterodera glycines	GCA_000150805.1	Bacteria	104	Pseudomonas xionganensis
Heterodera glycines	GCA_000150805.1	Bacteria	244	Serratia ficaria
Heterodera glycines	GCA_000150805.1	Bacteria	421	Serratia inhibens
Heterodera glycines	GCA_000150805.1	Bacteria	5034	Serratia marcescens
Heterodera glycines	GCA_000150805.1	Bacteria	632	Serratia quinivorans
Heterodera glycines	GCA_000150805.1	Bacteria	155	Stenotrophomonas bentonitica
Heterodera glycines	GCA_000150805.1	Bacteria	319	Stenotrophomonas cyclobalanopsidis
Heterodera glycines	GCA_000150805.1	Bacteria	2006	Stenotrophomonas geniculata
Heterodera glycines	GCA_000150805.1	Bacteria	93	Stenotrophomonas humi
Heterodera glycines	GCA_000150805.1	Bacteria	366	Stenotrophomonas indicatrix
Heterodera glycines	GCA_000150805.1	Bacteria	943	Stenotrophomonas maltophilia
Heterodera glycines	GCA_000150805.1	Bacteria	925	Stenotrophomonas pavanii
Heterodera glycines	GCA_000150805.1	Bacteria	80	Stenotrophomonas rhizophila
Heterodera glycines	GCA_000150805.1	Bacteria	369	Stenotrophomonas sp.
Heterodera glycines	GCA_000150805.1	Bacteria	123	Xenorhabdus bovienii
Heterodera glycines	GCA_000150805.1	Bacteria	945	Xenorhabdus khoisanae
Heterodera glycines	GCA_000150805.1	Bacteria	230	NA
Heterodera glycines	GCA_000150805.1	Other eukaryotes	1029	Phytophthora colocasiae
Heterodera glycines	GCA_000150805.1	Other eukaryotes	979	Pythium oligandrum
Heterodera glycines	GCA_000150805.1	Virus	509	Rhizobium phage
Heterodera glycines	GCA_000150805.1	Virus	119	Serratia phage
Heterodera glycines	GCA_000150805.1	Virus	969	Taeniopygia guttata
Allomyces macrogynus ATCC 38327	GCA_000151295.1	Bacteria	669	Listeria monocytogenes
Allomyces macrogynus ATCC 38327	GCA_000151295.1	Bacteria	681	Phocaeicola vulgatus
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Metazoa	531	Bradysia coprophila
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Metazoa	561	Mesorhabditis belari
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Viridiplantae	361340	Aegilops tauschii
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Viridiplantae	10482	Hordeum vulgare
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Viridiplantae	522	Lolium rigidum
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Viridiplantae	507	Rhodamnia argentea
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	501	Aquabacterium soli
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	500	Bradyrhizobium altum
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	500	Bradyrhizobium viridifuturi
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	525	Brevundimonas lutea
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	517	Burkholderia stabilis
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	508	Comamonas thiooxydans
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	552	Curtobacterium oceanosedimentum
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	507	Daejeonella lutea
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	744	Deinococcus betulae
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	520	Enhydrobacter aerosaccus
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	1106	Enterobacter asburiae
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	783	Enterobacter ludwigii
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	507	Escherichia coli
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	513	Exiguobacterium acetylicum
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	1014	Exiguobacterium sp.
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	931	Huaxiibacter chinensis
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	505	Hyphomicrobium denitrificans
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	1194	Kosakonia arachidis
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	49244	Leclercia adecarboxylata
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	885	Leclercia sp.
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	795	Lelliottia amnigena
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	776	Mangrovibacter plantisponsor
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	507	Mesorhizobium tamadayense
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	521	Methylobacterium phyllosphaerae
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	844	Nissabacter archeti
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	515	Nitrobacter hamburgensis
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	512	Nitrobacter sp.
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	508	Paracoccus sediminis
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	514	Pseudaminobacter manganicus
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	515	Pseudaminobacter salicylatoxidans
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	503	Pseudolabrys taiwanensis
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	2313	Pseudomonas soli
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	750	Pseudomonas sp.
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	508	Pseudomonas urethralis
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	501	Pseudorhodoplanes sp.
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	506	Rhizomicrobium sp.
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	503	Sphingomonas corticis
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Bacteria	507	Sphingomonas sinipercae
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Virus	837	Enterobacter ludwigii
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Virus	1114	Human immunodeficiency
Puccinia triticina 1-1 BBBD Race 1	GCA_000151525.2	Virus	509	NA
Schistosoma japonicum	GCA_000151775.1	Metazoa	9448	Homo sapiens
Schistosoma japonicum	GCA_000151775.1	Metazoa	1097	Meloidogyne arenaria
Schistosoma japonicum	GCA_000151775.1	Metazoa	3806	Mizuhopecten yessoensis
Schistosoma japonicum	GCA_000151775.1	Metazoa	133629	Mus musculus
Schistosoma japonicum	GCA_000151775.1	Metazoa	600660	Oryctolagus cuniculus
